infra_id,phase_reconstruction,duree_totale,cout_total
P005500,0,26.2840698104142,6571.01745260355
P007990,0,37.405722064311,9351.43051607775
P007447,0,14.22675772366815,2560.8163902602673
P005664,1,25.8216807236908,6455.4201809227
P007448,1,15.9484580911344,3987.1145227836
P004862,1,17.64297448618342,4410.743621545855
P008031,1,21.957864754294,5489.4661885735
P007518,1,9.83628263450604,2459.07065862651
P005117,1,26.525405162197,6631.35129054925
P000873,1,10.9302189406805,2732.5547351701252
P007790,1,29.280590437832398,5270.506278809832
P005100,1,12.51951350613308,3129.87837653327
P000732,1,21.5742772172186,5393.56930430465
P008001,1,19.60362686493784,4900.90671623446
P000719,1,21.396318701628,5349.079675407001
P005531,1,29.6986191906536,7424.654797663399
P007639,1,30.6640158226101,5519.522848069818
P005100,1,12.51951350613308,3129.87837653327
P000732,1,21.5742772172186,5393.56930430465
P008001,1,19.60362686493784,4900.90671623446
P000719,1,21.396318701628,5349.079675407001
P005770,1,27.7871975623298,6946.7993905824505
P007985,1,20.9794603268262,5244.86508170655
P007813,1,6.826159847768451,1228.708772598321
P005781,1,29.021354170012,7255.338542503
P007539,1,13.29987345108146,3324.968362770365
P005317,1,23.90342255106,5975.855637765
P001156,1,26.9774153585032,6744.3538396258
P007679,1,18.2827944556996,3428.023960443675
P005100,1,12.51951350613308,3129.87837653327
P000732,1,21.5742772172186,5393.56930430465
P008001,1,19.60362686493784,4900.90671623446
P000719,1,21.396318701628,5349.079675407001
P000730,1,6.49496359828875,1169.093447691975
P007631,1,23.959582152643502,4312.72478747583
P005820,1,29.143695801929,7285.92395048225
P007627,1,34.15320809224912,6403.726517296711
P006709,1,26.8424272295558,6710.60680738895
P008025,1,21.534661032935,5383.665258233749
P007692,1,38.59851495077416,7237.221553270155
P005100,1,12.51951350613308,3129.87837653327
P000732,1,21.5742772172186,5393.56930430465
P008001,1,19.60362686493784,4900.90671623446
P000719,1,21.396318701628,5349.079675407001
P005100,1,12.51951350613308,3129.87837653327
P000732,1,21.5742772172186,5393.56930430465
P008001,1,19.60362686493784,4900.90671623446
P000719,1,21.396318701628,5349.079675407001
P004862,1,17.64297448618342,4410.743621545855
P008031,1,21.957864754294,5489.4661885735
P007780,1,49.556812204255806,8920.226196766045
P005100,1,12.51951350613308,3129.87837653327
P000732,1,21.5742772172186,5393.56930430465
P008001,1,19.60362686493784,4900.90671623446
P000719,1,21.396318701628,5349.079675407001
P005100,1,12.51951350613308,3129.87837653327
P000732,1,21.5742772172186,5393.56930430465
P008001,1,19.60362686493784,4900.90671623446
P000719,1,21.396318701628,5349.079675407001
P008005,1,16.80490373868074,4201.225934670185
P000723,1,26.3198844678838,6579.97111697095
P000600,1,19.36453099326528,4841.13274831632
P007641,1,13.38312626188352,3345.78156547088
P004862,1,17.64297448618342,4410.743621545855
P008031,1,21.957864754294,5489.4661885735
P008032,1,21.0419495680758,5260.48739201895
P004209,1,49.877468844610604,8977.944392029909
P007514,1,20.6559311604114,5163.982790102849
P004862,1,17.64297448618342,4410.743621545855
P008031,1,21.957864754294,5489.4661885735
P008032,1,21.0419495680758,5260.48739201895
P008035,1,23.4395184501752,5859.8796125438
P004234,1,26.9698060688878,6742.45151722195
P008036,1,29.76704143824088,5581.3202696701655
P007459,1,19.73071634301542,4932.679085753855
P006457,1,48.88157998104735,8798.684396588524
P003569,1,16.62276231760328,4155.69057940082
P007696,1,29.3587443785894,7339.68609464735
P005100,1,12.51951350613308,3129.87837653327
P000732,1,21.5742772172186,5393.56930430465
P008001,1,19.60362686493784,4900.90671623446
P000719,1,21.396318701628,5349.079675407001
P004862,1,17.64297448618342,4410.743621545855
P008031,1,21.957864754294,5489.4661885735
P008032,1,21.0419495680758,5260.48739201895
P004209,1,49.877468844610604,8977.944392029909
P004211,1,14.37274596162255,2587.094273092059
P007506,1,29.3165729286232,7329.1432321557995
P004862,1,17.64297448618342,4410.743621545855
P008031,1,21.957864754294,5489.4661885735
P008032,1,21.0419495680758,5260.48739201895
P008035,1,23.4395184501752,5859.8796125438
